DATE_DEBUT,LATITUDE,LONGITUDE,MONTH,FIRE_RISK,MAX_TEMP,PRECIPITATION,WIND_SPEED,MIN_HUMIDITY,14_DAY_RAIN,14_DAY_AVG_TEMP,DAYS_SINCE_RAIN
2019-07-24,45.40976515731703,-58.888156319727685,7.0,0,18.0,13.1,48.9,94.0,67.3,14.857142857142858,1.0
2018-07-28,52.18517078438392,-79.33175764641886,7.0,0,8.7,10.7,27.5,85.0,25.5,12.592857142857142,1.0
2020-06-20,49.83660000087583,-73.55119999959496,6.0,1,28.6,3.6,10.4,46.0,9.3,19.87142857142857,8.0
2021-06-16,52.21450644557968,-58.35239739805733,6.0,0,14.2,9.2,17.0,64.0,61.8,13.69285714285714,1.0
2020-05-23,45.40440000079708,-72.24500000008443,5.0,1,22.7,0.0,16.3,14.0,29.0,14.571428571428571,8.0
2020-05-21,45.9367000013616,-73.97909999997276,5.0,1,23.2,0.0,15.6,24.0,11.4,12.457142857142856,6.0
2022-08-09,49.204100000000096,-68.57139999999993,8.0,1,20.5,0.6,12.5,47.0,34.7,22.985714285714288,1.0
2018-08-12,57.67998741562621,-64.24959707702502,8.0,0,15.1,2.1,36.4,56.0,42.8,15.842857142857142,1.0
2024-08-23,56.91793265553344,-70.25034766370885,8.0,0,21.5,0.0,20.5,45.0,27.3,18.45,5.0
2023-07-02,57.84143602663418,-57.31269910566121,7.0,0,8.9,4.6,28.8,97.0,17.3,7.628571428571429,4.0
2022-09-02,45.83595411872044,-73.06593856056628,9.0,0,22.5,0.0,16.1,59.0,80.1,24.828571428571426,2.0
2022-05-09,46.96680000000009,-71.13350000000003,5.0,1,18.6,0.0,12.6,17.0,23.9,11.6,5.0
2020-05-22,46.066800000724974,-74.51980000024528,5.0,1,26.5,0.0,12.0,21.0,12.0,12.714285714285714,7.0
2018-05-06,58.52459050721517,-70.43261391539971,5.0,0,-6.2,1.6,24.7,67.0,11.8,-4.7,6.0
2021-05-15,48.23970000094727,-72.59479999969994,5.0,1,18.6,2.0,18.6,33.0,29.8,11.271428571428572,2.0
2018-05-23,53.70401222755984,-64.94278583756575,5.0,0,-2.2,0.0,26.1,64.0,40.7,-0.5571428571428572,3.0
2021-06-01,49.48447848772602,-66.52496326570322,6.0,0,11.4,3.0,42.2,77.0,40.2,9.635714285714284,1.0
2024-05-17,46.38240000000008,-71.92889999999994,5.0,1,23.2,2.4,13.1,58.0,31.8,17.964285714285715,1.0
2020-09-03,57.225633934156086,-63.43295208128145,9.0,0,12.1,6.0,51.5,82.0,61.0,9.89285714285714,1.0
2024-07-08,53.40390000000008,-70.68349999999998,7.0,1,24.3,10.4,36.4,49.0,54.9,17.285714285714285,1.0
2019-05-16,51.51878154074916,-77.92221614659955,5.0,0,13.0,0.3,17.2,52.0,18.3,7.842857142857143,1.0
2020-07-13,51.60628053870298,-77.82039074952472,7.0,0,24.3,0.0,13.0,39.0,36.8,26.15714285714285,2.0
2022-08-20,55.29236780334705,-77.21992692627103,8.0,0,23.0,3.3,12.0,65.0,65.5,18.857142857142858,7.0
2021-05-29,46.28350000076348,-73.76260000012307,5.0,1,16.0,0.0,12.6,27.0,18.9,22.17142857142857,3.0
2021-09-19,51.38245086817108,-59.78468304887694,9.0,0,13.6,0.0,19.0,37.0,107.5,16.035714285714285,1.0
2024-06-16,53.4041049463697,-73.72689837818578,6.0,0,15.9,4.3,22.3,60.0,18.5,21.32142857142857,1.0
